Benchmark;Baseline;+-;Mode0;+-;Mode1;+-;Mode2;+-;Deopts. Baseline;+-;Deopts. Mode0;+-;Deopts. Mode 1;+-;Deopts. Mode 2;+-
scimark.fft.large;84.6704;0.714502486826557;86.7658;0.728657114358586;85.974;0.784109037116093;85.6702;0.64795114811622;291.46;8.11203205239613;80.48;4.25588652062986;55.3;3.2174983903931;85.36;4.12470656155607
scimark.fft.small;270.1864;1.22254972311752;272.6614;1.2997267564586;272.802857142857;2.2411397092559;271.6246;1.14791483353404;252.1;7.85918591530325;113.98;5.57515952459634;58.7;4.0081648202389;95.86;5.28481094802052
scimark.lu.large;30.8982;0.332894377104031;27.5648979591837;0.786899135702854;27.1268;0.712788089698988;28.0018;0.722372164269139;268.26;8.5285751507521;59.5531914893617;2.83862675776315;38.98;1.55712906891603;83.14;2.83384282823975
scimark.lu.small;577.5316;7.88305895551491;579.929;4.50577806689454;569.6878;5.76451381222061;581.7786;7.26741188043823;284.74;14.4626530131769;156.28;4.18590622511953;56.68;3.267413911003;93.2;5.5519050692449
scimark.monte_carlo;204.805;4.38211586640935;235.3288;6.13876084372595;263.1158;4.61476454785951;241.6904;5.13273863173411;227.38;8.33209022698662;112.96;3.86824883953407;65.64;3.44439276652894;72.9;3.543226794912
scimark.sor.large;81.288;1.90203223538741;71.1676;5.01075950302228;72.0482;4.94398347707515;70.0988;5.13107726012265;241.2;9.60915121978823;68.12;3.54154701004228;52.46;2.78052686072553;87.76;3.58729139467623
scimark.sor.small;368.9488;2.03412368673147;372.2162;2.61628198295857;367.5194;1.22560426903448;373.8038;0.894547305376879;232.6;9.15391581038612;97.68;3.18101561057472;58.18;2.59690544676309;62.38;1.88330284138531
scimark.sparse.large;58.406;3.83759947203413;49.8352;2.47300807036186;48.1388;1.69472675922445;48.396;1.78425265837392;263.58;7.91641061838629;108.6;3.30531213605547;77.78;2.46107632036158;108.62;3.5874430230798
scimark.sparse.small;325.0408;4.13458596785743;351.228;1.87742525121875;321.1796;1.93197431722611;321.3836;3.04322283097165;296.3;8.84478708667067;135.26;3.30272292488742;91.58;2.72597489794222;111.08;5.35108856164528
