Benchmark;Baseline;+-;Mode0;+-;Mode1;+-;Mode2;+-;Deopts. Baseline;+-;Deopts. Mode0;+-;Deopts. Mode 1;+-;Deopts. Mode 2;+-
compress;259.9664;3.1343429987883;282.792;16.142856020069;300.1964;4.77627819811959;322.7272;1.8134600072124;336.22;11.9513506630926;215.34;37.3319706644529;65.48;7.49812042783091;113.56;6.12452264054802
crypto.aes;103.56;1.52507585358968;96.7878;1.42175908730593;97.7182;1.26832680719148;98.5184;0.772108111543086;288.78;19.2470382513186;155.52;5.52220756477048;72.48;3.55576048462285;79.6122448979592;3.88819527910847
crypto.rsa;435.8258;4.76083392633961;438.9988;10.7900980688112;487.9358;12.1908700243247;467.8192;9.26712632031894;380.76;16.1010427201303;249.02;16.5039535989431;100.96;7.09062989174515;113.9;8.02049237936942
crypto.signverify;244.005;8.83430924088952;223.4002;8.64978586090162;237.690816326531;9.4674760996745;246.7358;9.88525156151087;261.06;9.11555486340371;150.08;5.16264117664402;83.7551020408163;3.93770649826265;96;4.00271216212407
derby;218.799;3.72028507945261;194.4804;8.30086387821935;228.4624;7.00259676244309;239.9648;5.61529829404246;557.04;19.993781262258;449.98;9.30332128611813;281.183673469388;6.94321191292687;284.16;5.48811025969713
mpegaudio;152.3038;2.39117201694658;153.9644;3.87005055742145;139.2022;7.09038478311758;145.8636;5.82583238811468;1709.32;143.578248525934;151.46;43.7956524595163;87.5;9.36948442553865;698.94;239.057997681928
sunflow;39.3452;0.361704057025289;38.6048;0.345341239527858;38.1356;0.455534616486898;38.6648;0.38665961782896;331.14;27.9866700721103;159.3;3.97227756002951;59.82;2.50252021578922;79.68;8.1215678028105
