Names,Warmup,Iteration 1
cr. Profile noOSR,7.86,20.42
use Profile noOSR,28.19,29.51
Baseline noOSR,7.27,18.16
cr. Profile OSR,31.12,27.58
use Profile OSR,29.04,28.05
Baseline OSR,29.47,30.54
Baseline JDK9,28.13,28.71
