Benchmark;Baseline;+-;Mode0;+-;Mode1;+-;Mode2;+-;Deopts. Baseline;+-;Deopts. Mode0;+-;Deopts. Mode 1;+-;Deopts. Mode 2;+-
scimark.fft.large;85.468;0.915241392350988;87.856;0.57345568439395;86.4932;0.756000797903043;89.654;0.690039978798726;273.46;9.42647955628709;80.04;3.78075782533503;61.26;3.41606560045952;84.04;4.19295681358548
scimark.fft.small;298.756;2.09632760160344;302.628;1.31605809494236;300.5808;2.77181062348732;305.1196;2.50888937253711;254.52;9.98769413918119;120.26;5.08899133870346;60.98;3.37220269635088;114.38;6.48040308253124
scimark.lu.large;30.9492;0.199806588150831;29.5322;0.699130227111022;28.4898;0.752942611608359;28.9886;0.742292815471809;266.24;10.8851567591415;48.62;1.73193134460285;35.56;1.08052788880522;77.8367346938776;2.30037045571801
scimark.lu.small;590.5928;5.78414836886964;621.3264;5.26877640816713;589.2508;7.23246516628074;607.9408;7.47584155919284;275.8;15.4039853468842;146.72;4.02777010126199;57.02;3.48754158638621;100.4;5.80104930723824
scimark.monte_carlo;208.4764;3.45058611956467;235.7574;8.28722577098437;257.2124;5.07738256634513;246.8864;3.53828053808327;224.52;7.45623544499188;128.34;4.13502388688772;71.88;3.80322237757244;79.64;6.09149144101194
scimark.sor.large;82.4366;0.22200761724449;75.0304;4.47920578581497;72.635;4.84774227337012;71.5256;4.93620415406541;235.14;9.38824735716127;77.76;3.2573695403659;58.9;2.65003440992727;84.78;3.04160280839954
scimark.sor.small;368.7886;2.1497130525318;367.6442;1.84813990042556;374.2882;1.00900391493853;375.2302;0.867387048254161;233.56;9.60300137116312;106.02;2.01570943344318;51.6;2.19988133005484;68.86;1.68281097590325
scimark.sparse.large;60.3452;3.96126412159263;50.6796;2.5426146681009;50.6738;2.79109016282788;49.712;2.64639463626583;254.38;8.8620347545614;86.28;2.67774890441099;62.74;1.96462396660457;90.14;3.27274185127887
scimark.sparse.small;317.3556;4.92401816907146;351.0396;1.60900429613282;321.5424;2.03451155108313;322.1472;2.16809888512404;287.14;11.8496464368296;145;4.34054580424793;94.34;2.53323629176621;114.04;5.11971764963722
