Names,Warmup,Iteration 1
cr. Profile noOSR,212.61,222.11
use Profile noOSR,214.97,219.51
Baseline noOSR,211.83,219.38
Baseline OSR,223.42,224.08
Baseline JDK9,226.37,220.82
