Names,Warmup,Iteration 1
cr. Profile noOSR,206.57,232.70
use Profile noOSR,232.70,228.88
Baseline noOSR,177.86,236.86
Baseline OSR,233.08,226.35
Baseline JDK9,281.05,275.93
